Epoch 0, RMSE: 1.6474677576398848, R^2: -1.7142, MSE: 2.7141500124629903
Epoch 1, RMSE: 1.4756429949271217, R^2: -1.1775, MSE: 2.177522248477485
Epoch 2, RMSE: 1.3427095940284985, R^2: -0.8029, MSE: 1.8028690538961751
Epoch 3, RMSE: 1.2359214452851826, R^2: -0.5275, MSE: 1.5275018189158143
Epoch 4, RMSE: 1.1484835322314224, R^2: -0.3190, MSE: 1.3190144238067645
Epoch 5, RMSE: 1.0762992454636615, R^2: -0.1584, MSE: 1.158420065785647
Epoch 6, RMSE: 1.0165427286476074, R^2: -0.0334, MSE: 1.0333591191663232
Epoch 7, RMSE: 0.9670477580871564, R^2: 0.0648, MSE: 0.9351813664213953
Epoch 8, RMSE: 0.9260478168761612, R^2: 0.1424, MSE: 0.8575645591411043
Epoch 9, RMSE: 0.8920626912743496, R^2: 0.2042, MSE: 0.7957758451636355
Epoch 10, RMSE: 0.8638438478440471, R^2: 0.2538, MSE: 0.7462261934580092
Epoch 11, RMSE: 0.8403419470889006, R^2: 0.2938, MSE: 0.7061745880371647
Epoch 12, RMSE: 0.8206819543466287, R^2: 0.3265, MSE: 0.6735188701902021
Epoch 13, RMSE: 0.8041407316540218, R^2: 0.3534, MSE: 0.6466423163050655
Epoch 14, RMSE: 0.7901258288362094, R^2: 0.3757, MSE: 0.624298825394107
Epoch 15, RMSE: 0.7781555623913983, R^2: 0.3945, MSE: 0.6055260792806734
Epoch 16, RMSE: 0.7678407906191466, R^2: 0.4104, MSE: 0.589579479738636
Epoch 17, RMSE: 0.7588687136973125, R^2: 0.4241, MSE: 0.5758817246286136
Epoch 18, RMSE: 0.7509888413102233, R^2: 0.4360, MSE: 0.5639842397724717
Epoch 19, RMSE: 0.7440010982533726, R^2: 0.4465, MSE: 0.5535376342022246
Epoch 20, RMSE: 0.7377459179767596, R^2: 0.4557, MSE: 0.5442690394913716
Epoch 21, RMSE: 0.7320961067752488, R^2: 0.4640, MSE: 0.5359647095554766
Epoch 22, RMSE: 0.7269502357370957, R^2: 0.4715, MSE: 0.528456645238219
Epoch 23, RMSE: 0.7222273198628858, R^2: 0.4784, MSE: 0.5216123015563272
Epoch 24, RMSE: 0.7178625623055337, R^2: 0.4847, MSE: 0.5153266583598662
Epoch 25, RMSE: 0.7138039680003554, R^2: 0.4905, MSE: 0.5095161047330524
Epoch 26, RMSE: 0.7100096595462787, R^2: 0.4959, MSE: 0.5041137166490226
Epoch 27, RMSE: 0.706445755825229, R^2: 0.5009, MSE: 0.4990656059234789
Epoch 28, RMSE: 0.7030846988329678, R^2: 0.5057, MSE: 0.49432809373304504
Epoch 29, RMSE: 0.699903935865462, R^2: 0.5101, MSE: 0.48986551943996476
Epoch 30, RMSE: 0.6968848824729328, R^2: 0.5144, MSE: 0.4856485394193134
Epoch 31, RMSE: 0.6940121066866942, R^2: 0.5183, MSE: 0.4816528042277035
Epoch 32, RMSE: 0.691272687312879, R^2: 0.5221, MSE: 0.4778579282247695
Epoch 33, RMSE: 0.6886557089859277, R^2: 0.5258, MSE: 0.47424668551891075
Epoch 34, RMSE: 0.6861518645844433, R^2: 0.5292, MSE: 0.47080438127270824
Epoch 35, RMSE: 0.6837531418945354, R^2: 0.5325, MSE: 0.4675183590506486
Epoch 36, RMSE: 0.681452576373459, R^2: 0.5356, MSE: 0.464377613846025
Epoch 37, RMSE: 0.6792440557812691, R^2: 0.5386, MSE: 0.4613724873141878
Epoch 38, RMSE: 0.6771221655258668, R^2: 0.5415, MSE: 0.4584944270464394
Epoch 39, RMSE: 0.6750820659819821, R^2: 0.5443, MSE: 0.4557357958105011
Epoch 40, RMSE: 0.6731193949375602, R^2: 0.5469, MSE: 0.45308971984110713
Epoch 41, RMSE: 0.6712301898034199, R^2: 0.5495, MSE: 0.45054996770353506
Epoch 42, RMSE: 0.6694108253823717, R^2: 0.5519, MSE: 0.44811085313910815
Epoch 43, RMSE: 0.6676579639020207, R^2: 0.5542, MSE: 0.4457671567617919
Epoch 44, RMSE: 0.6659685147260501, R^2: 0.5565, MSE: 0.4435140626064213
Epoch 45, RMSE: 0.6643396017149326, R^2: 0.5587, MSE: 0.4413471064067552
Epoch 46, RMSE: 0.6627685366424128, R^2: 0.5607, MSE: 0.4392621331631252
Epoch 47, RMSE: 0.6612527974151187, R^2: 0.5627, MSE: 0.4372552620893199
Epoch 48, RMSE: 0.659790010109858, R^2: 0.5647, MSE: 0.4353228574407666
Epoch 49, RMSE: 0.6583779340526527, R^2: 0.5665, MSE: 0.4334615040474391
Epoch 50, RMSE: 0.657014449327906, R^2: 0.5683, MSE: 0.43166798662565153
Epoch 51, RMSE: 0.6556975462351106, R^2: 0.5701, MSE: 0.42993927213874494
Epoch 52, RMSE: 0.65442531631185, R^2: 0.5717, MSE: 0.42827249462986494
Epoch 53, RMSE: 0.6531959446215181, R^2: 0.5733, MSE: 0.4266649420699974
Epoch 54, RMSE: 0.6520077030668624, R^2: 0.5749, MSE: 0.4251140448585258
Epoch 55, RMSE: 0.6508589445398092, R^2: 0.5764, MSE: 0.42361736568747443
Epoch 56, RMSE: 0.6497480977569224, R^2: 0.5778, MSE: 0.4221725905387392
Epoch 57, RMSE: 0.648673662660517, R^2: 0.5792, MSE: 0.4207775206294101
Epoch 58, RMSE: 0.6476342062896703, R^2: 0.5806, MSE: 0.4194300651564512
Epoch 59, RMSE: 0.6466283590445014, R^2: 0.5819, MSE: 0.4181282347205847
Epoch 60, RMSE: 0.6456548112822288, R^2: 0.5831, MSE: 0.4168701353318905
